seed;step;episode;run;q_sum;per_task_q;computation_time
3;8000;2389;run1;168.51854637642856;[-0.9999999999999996, 119.51854637642859, 49.99999999999997];0.7378514140000334
3;10000;2933;run1;168.52071727546283;[-0.9999999999999996, 119.52071727546286, 49.99999999999997];0.9238309180000215
3;12000;3466;run1;168.5207195179032;[-0.9999999999999996, 119.5207195179032, 49.99999999999997];1.1081152980041225
3;14000;4015;run1;168.52071952011877;[-0.9999999999999996, 119.5207195201188, 49.99999999999997];1.2808639210052206
3;16000;4611;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.4658056590051274
3;18000;5141;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.6484537060023285
3;20000;5714;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.8348214100042242
3;22000;6221;run1;184.54414607003932;[-0.9999999999999996, 135.54414607003935, 49.99999999999997];2.004661727005441
3;24000;6690;run1;188.09701189739266;[-0.9999999999999996, 139.0970118973927, 49.99999999999997];2.169970855000429
3;26000;7094;run1;188.1615117684718;[-0.9999999999999996, 139.16151176847183, 49.99999999999997];2.3280945410006098
3;28000;7532;run1;188.16209220194568;[-0.9999999999999996, 139.1620922019457, 49.99999999999997];2.495591619001061
3;30000;7931;run1;189.94870779492607;[-0.9999999999999996, 140.9487077949261, 49.99999999999997];2.660579064999183
3;32000;8354;run1;192.78816885425124;[-0.9999999999999996, 143.78816885425127, 49.99999999999997];2.8254687060034485
3;34000;8780;run1;192.98048393312513;[-0.9999999999999996, 143.98048393312516, 49.99999999999997];2.9885056980056106
3;36000;9161;run1;194.5642241324221;[-0.9999999999999996, 145.56422413242214, 49.99999999999997];3.1340482700034045
3;38000;9557;run1;197.55588991508185;[-0.9999999999999996, 148.55588991508188, 49.99999999999997];3.304471215000376
