seed;step;episode;run;q_sum;per_task_q;computation_time
1;112500;951;run1;-10.147835490498894;[-11.637593292791037, 0.5521833961850237, 0.9375744061071186];5.789048324004398
1;115000;987;run1;-10.14782670705299;[-11.63759329524433, 0.5521921820740329, 0.937574406117305];5.916701157999341
1;117500;1034;run1;-10.14782232493557;[-11.637593295571934, 0.5521965645158011, 0.9375744061205638];6.062168572003429
1;120000;1079;run1;-10.147821714227218;[-11.637593295611689, 0.5521971752636561, 0.9375744061208152];6.202028004998283
1;122500;1124;run1;-10.147821549937756;[-11.637593295615996, 0.5521973395573959, 0.9375744061208438];6.341300970001612
1;125000;1169;run1;-10.14782149849562;[-11.637593295616291, 0.552197390999826, 0.9375744061208444];6.47717113699764
1;127500;1214;run1;-10.147821488021657;[-11.637593295616384, 0.5521974014738817, 0.9375744061208444];6.604024375003064
1;130000;1259;run1;-10.147821483489881;[-11.637593295616384, 0.5521974060056571, 0.9375744061208444];6.748894217998895
1;132500;1301;run1;-10.14782148290401;[-11.637593295616384, 0.5521974065915289, 0.9375744061208444];6.888843451997673
1;135000;1345;run1;-10.147821482708581;[-11.637593295616384, 0.5521974067869586, 0.9375744061208444];7.022288874002697
1;137500;1392;run1;-10.147821482641591;[-11.637593295616384, 0.5521974068539479, 0.9375744061208444];7.150791090003622
