seed;step;episode;run;q_sum;per_task_q;computation_time
1;38000;76;run1;0.09886418368405539;[0.0, 0.0, 0.09886418368405539];2.860142566001741
1;39000;78;run1;0.1179740025767162;[0.0, 0.0, 0.1179740025767162];2.9341951180031174
1;40000;80;run1;0.1322481197643681;[0.0, 0.0, 0.1322481197643681];3.0092348660036805
1;41000;82;run1;0.15504716091604628;[0.0, 0.0, 0.15504716091604628];3.0852756059975945
1;42000;84;run1;0.18273572082607017;[0.0, 0.0, 0.18273572082607017];3.164726985996822
1;43000;86;run1;0.21435170658843064;[0.0, 0.0, 0.21435170658843064];3.2410395609986153
1;44000;89;run1;0.24032041814565339;[0.0, 0.0, 0.24032041814565339];3.352920659999654
1;45000;91;run1;0.2543517062161771;[0.0, 0.0, 0.2543517062161771];3.4295941059972392
1;46000;93;run1;0.26928214233743875;[0.0, 0.0, 0.26928214233743875];3.5063584960007574
1;47000;95;run1;0.2892804018875523;[0.0, 0.0, 0.2892804018875523];3.5818418720009504
1;48000;97;run1;0.3166254349591115;[0.0, 0.0, 0.3166254349591115];3.656173581002804
1;49000;99;run1;0.33634774932799405;[0.0, 0.0, 0.33634774932799405];3.730864459001168
1;50000;101;run1;0.34899744667380966;[0.0, 0.0, 0.34899744667380966];3.805358215002343
1;51000;103;run1;0.3550685191049975;[0.0, 0.0, 0.3550685191049975];3.8805411430003005
1;52000;105;run1;0.3654500529623287;[0.0, 0.0, 0.3654500529623287];3.9551603150030132
1;53000;107;run1;0.38377472973203836;[0.0, 0.0, 0.38377472973203836];4.029591603000881
1;54000;109;run1;0.3925346428499785;[0.0, 0.0, 0.3925346428499785];4.103832781001984
1;55000;111;run1;0.4015960400965015;[0.0, 0.0, 0.4015960400965015];4.177625199998147
1;56000;113;run1;0.4107461611433485;[0.0, 0.0, 0.4107461611433485];4.251081244001398
1;57000;115;run1;0.4202072124139023;[0.0, 0.0, 0.4202072124139023];4.32359425300092
1;58000;117;run1;0.42963763467720184;[0.0, 0.0, 0.42963763467720184];4.396031340002082
1;59000;119;run1;0.43855647822635546;[0.0, 0.0, 0.43855647822635546];4.468412971997168
1;60000;121;run1;0.4597488415976032;[0.0, 0.0, 0.4597488415976032];4.5404768619991955
1;61000;123;run1;0.4761620618534247;[0.0, 0.0, 0.4761620618534247];4.612392212002305
1;62000;125;run1;0.4761620618534247;[0.0, 0.0, 0.4761620618534247];4.68548986800306
1;63000;127;run1;0.48207328831934426;[0.0, 0.0, 0.48207328831934426];4.758359482002561
1;64000;129;run1;0.49082912070510465;[0.0, 0.0, 0.49082912070510465];4.83137262800301
1;65000;131;run1;0.5042498180459992;[0.0, 0.0, 0.5042498180459992];4.904559180999058
1;66000;133;run1;0.505077490299403;[0.0, 0.0, 0.505077490299403];4.977700137998909
